title,text,subject,date
'Beginning of the End': Vladimir Putin 'Doomed' as Russian Civil War Looms on Horizon Russian Insiders Warn,Russia is reportedly on the brink of civil war as a result of Vladimir Putin's disastrous war against Ukraine RadarOnline.com has learned.In a sudden development to come nearly 16 months after Russia first invaded Ukraine in February 2022 sources familiar with Russia's Kremlin elite revealed Putin could be 'ousted' from power due to his failed invasion.Also startling are reports that Putin may end up "dead' or 'in exile" if he does not succeed in his military campaign against Ukraine in the coming weeks and months.,news,2023-06-05
Furore over billboards in Gauteng calling for Cyril Ramaphosa to arrest Russian President Vladimir Putin,Pretoria - Two billboards sanctioned by US-based NGO Avaaz calling on President Cyril Ramaphosa to arrest Russian President Vladimir Putin have caused a stir in the country. One of the billboards is along the N1 in Centurion while the other is erected on the R21 towards Pretoria. Putin is due to visit the country in August during the BRICS summit in Johannesburg.But the International Criminal Court (ICC) of which South Africa is a member has since issued a warrant of arrest for the Russian leader while South Africa has strong ties with the country leaving it in limbo on how to act.,news,2023-06-05
Putin's Nuclear Weapons Threats Are 'Signs Of A Weak Man': Zelensky,AFPUkrainian President Volodymyr Zelensky described Vladimir Putin as a "cornered animal"Zelensky said Putin "no longer sits at the table with serious countries"A British lawmaker warned that Putin may escalate the Ukraine war by using tactical nuclear weaponsUkrainian President Volodymyr Zelensky has assailed Russian President Vladimir Putin's threats to use nuclear weapons in the ongoing Russia-Ukraine war.In an interview with The Wall Street Journal Zelensky said that Putin's nuclear threats show he fears losing the Russia-led war.,news,2023-06-05
Zelenskyy says talks with Putin possible only if Russia withdraws all troops from Ukraine,In an interview with the South Korean daily newspaper Chosun Ilbo published on May 30 Zelenskyy said that Putin had avoided any contact with him for two years including phone talks.The Ukrainian president said he thought that Putin has 'nothing important to say.'Read also: Zelenskyy says he refuses talks with Putin describes Russian dictator as ‘insane''Putin is clearly aware that his efforts to seize Ukraine by force are indisputable' he said.'So what can you talk to me about? Putin only wants to seize Ukraine by war and destroy Ukrainian statehood.,news,2023-05-30
‘Won't arrest Putin if he arrives for BRICS meet': SA ignores ICC warrant,New Delhi May 30Resisting intense western pressure South Africa will not arrest Russian President Vladimir Putin when he arrives there to attend the BRICS summit scheduled to be held in August.Following hectic diplomatic wrangling and persuasion that saw Russian Foreign Minister Sergei Lavrov travelling to Africa and the Russian Ambassador to India Denis Alipov calling on External Affairs Minister for consultations on the issue South Africa said it would provide diplomatic immunity to all the participants who arrive in the country for BRICS-related events.,news,2023-05-31
Doomed Putin facing 'beginning of the end' with 'break-up of Russia' coming,Russia could soon be torn apart by civil war as infighting between members of the ruling Kremlin élite threatens to oust 'president for life' Vladimir Putin an expert has claimed.Luke Coffey an expert at the Hudson Institute think-tank in Washington predicts that the country faces further break-ups and we're already seeing 'the beginning of the end' for the Russian leader.The disastrous decision to invade Ukraine has caused bitter divisions among Putin's supporters with hardliners saying they could have won the war if they were in charge while oligarchs are hoping to patch up relations with the West to preserve their own wealth and power.,news,2023-06-05
Russian politician sensationally calls for Putin to be ousted on state TV,1 June 2023A Russian politician has sensationally called for Vladimir Putin to be removed from power on state television.A Russian politician has called for Vladimir Putin to be ousted from power The opposition politician Boris Nadezhdin - who has criticised Putin's decision to invade Ukraine - has called for the country to select a different leader in the elections next year.The outspoken Putin critic told the NTV channel: "We need to choose somebody else and not Putin. Everything will be good then.,news,2023-06-01
'Deepfake' Vladimir Putin appears as Russian TV is hacked,6 June 2023A "deepfake" Vladimir Putin appeared as Russian TV was hacked for the second time in 24 hours.A 'deepfake' Vladimir Putin appeared on hacked Russian TV The Russian president conducted an "emergency" broadcast to impose martial law in the Belgorod Kursk and Bryansk regions in response to an "incursion" from Ukrainian forces.However Kremlin spokesman Dmitry Peskov revealed that Putin's "emergency appeal" was actually a "hack".It is unclear who was behind the hack on Russian TV and radio stations but Moscow immediately put the blame on Ukraine.,news,2023-06-06
Hackers Faked Putin TV Speech of Attack on Russia Kremlin Says,An emergency TV and radio broadcast apparently from President Vladimir Putin announcing that Ukraine had invaded Russia was the result of a hacking attack the Kremlin said Monday.Putin 'definitely' made no appeal to the nation and the hacked broadcast shown on several networks has been eliminated Kremlin spokesman Dmitry Peskov said according to the state-run Tass news service. There was no indication of who may have been involved and of how the broadcast appeared to include the president's voice and image.,news,2023-06-05
Russia's new reality: Less Peter the Great more Putin the Pariah,Will Vladimir Putin dare to visit the BRICS summit in South Africa this August? In previous years his attendance would have been taken for granted but war crimes charges brought by the International Criminal Court in March 2023 are fueling speculation that he could face arrest if he decides to risk the trip. As a signatory to the Rome Statute that established the ICC South Africa is technically obliged to arrest Putin. Reports this week suggest the South African government may be seeking to bypass its obligations to the ICC by granting all summit participants diplomatic immunity but officials also stressed that immunity 'does not override any warrant that may have been issued by any international tribunal against any attendee of the conference.,news,2023-05-30
Chechen leader offers to help Putin defend attacked Russian region,Ramzan Kadyrov the leader of the Chechen Republic offered on Sunday to send military forces from his country to help Russian President Vladimir Putin ward off attacks in the Belgorod region.Belgorod has been the site of numerous attacks in recent weeks. The region's governor Vyacheslav Gladkov and other Russian officials have blamed the attacks on Ukraine but Kyiv has denied responsibility while two anti-Putin paramilitary groups—the Russian Volunteer Corps and the Freedom for Russia Legion—have claimed credit for them.,news,2023-06-05
Putin refers to Ukraine-Russia conflict as ‘war' for first time,Russian President Vladimir Putin recently referenced his country's ongoing conflict with Ukraine as a 'war' for the first time as he stated Russia's goal of ending the conflict. The comments from the Russian president come days after President Joe Biden met with Ukrainian President Volodymyr Zelensky and made clear his intention of continued aid and support.'Our goal is not to spin the flywheel of military conflict but on the contrary to end this war' Putin said according to The New York Post.,news,2023-06-05
The existential question about Putin's mercenary boss,By Andreas Kluth / Bloomberg Opinion         Yevgeny Prigozhin should not have said 'grandfather' but it slipped out. That was last month during one of his vulgar and lurid rants against the Russian top brass. Prigozhin the leader of the Wagner Group a private Russian military company was posing in warrior gear as a Slavic Rambo straddling the corpses of his fallen comrades and spitting expletives into the camera.He was demanding ammo from the Russian army for his Wagner mercenaries so he could finish the bloody siege for the Ukrainian city of Bakhmut.,news,2023-06-04
After arrest warrant Putin is stuck in Russia: he is not going to Erdogan's inauguration either,77900             Russian President Vladimir Putin has not left Russia after the International Criminal Court issued an arrest warrant. State Duma Speaker Viacheslav Volodin will go to the inauguration of Recep Tayyip Erdogan instead. Source: Russian state-owned news agency RIA Novosti referring to presidential aide Yurii Ushakov  Details: Türkiye's current president Erdogan won the election and will remain in office for another presidential term.  Typically leaders from various countries are invited to his inauguration.,news,2023-05-31
South African Defence Force will not arrest Putin,News / Nationalby Staff reporterThe SANDF says it will not arrest Russian President Vladimir Putin if he comes to SA for the BRICS Summit. SANDF chief Rudzani Maphwanywa says the defence force does not have the power to arrest Putin. #DStv403 pic.twitter.com/koq2MnqzP5 — eNCA (@eNCA) May 29 2023The South African Defence Force says it will not arrest Russian President Vladimir Putin if he comes here for the BRICS Summit.The International Criminal Court has issued a warrant of arrest for Putin accusing him of war crimes in Ukraine.,news,2023-05-30
Putin downplayed the drone attack in Moscow because there's not much he can do to retaliate analysts say,Putin downplayed the drone attack in Moscow because there's little he can do about it analysts say.The ISW said Putin typically resorts to missiles and drone strikes on Ukraine.He likely chooses these methods because of Russia's inability to decisively win on the battlefield.Russian President Vladimir Putin was notably calm after Tuesday's unprecedented drone strike in Moscow telling state media that the city's air defenses did their job.But he likely downplayed the incident because there's not much he can do to retaliate against Ukraine analysts say.,news,2023-05-31
Putin admits Moscow has room to 'work on' its air defenses after drone attacks hit civilian areas in the capital,Russian leader Vladimir Putin on Tuesday said Moscow's air defenses have "something to work on."He said this just after Russia's defense ministry reported that drone attacks had struck the capital.Putin said defenses were working fine but promised to bolster their presence in Moscow.Russian leader Vladimir Putin said Moscow's defenses are working well but admitted there "is something to work on" after local authorities said a series of drone attacks struck the capital."Moscow's air defense system worked routinely satisfactory" he told state media outlet TASS on Tuesday.,news,2023-05-31
Putin no longer being told 'bad news' about Ukraine to prevent fury,Vladimir Putin is no longer being told "bad news" about Russia's performance in Ukraine because the reports make him "extremely annoyed" insiders have claimed. Putin's hopes for a quick invasion have collapsed for months and now his hold on occupied territories is under threat as Ukraine's defence forces are tipped to renew their efforts across the eastern front.Telegram channel VCHK-OGPU whose purpose is to report "the secrets of officials oligarchs and gangsters" in Russia cited sources "familiar with the situation" in their latest update.,world,2023-06-06
Putin instructed to conduct a medical examination of the adult population in the new regions of Russia,Putin instructed to conduct a medical examination of the adult population in the new regions of RussiaHighlights: Russian President Vladimir Putin instructed to conduct a medical examination of the adult population in the DPR LPR Zaporozhye and Kherson regions. He said this at a meeting with members of the Cabinet. Putin also said that more than 300<> children were medically examined in the new regions of Russia. The new regions plan to restore more than 90 healthcare facilities by the end of this year Deputy Prime Minister Tatyana Golikova told the Cabinet on Thursday.,news,2023-05-31
President Vladimir Putin to bat for Russian video games at BRICS wants to lure Chinese gamers,It seems that President Putin is a massive fan of Russian video games. At the upcoming BRICS summit the Russian President plans on asking China to let Russian game developers launch their games for Chinese gamers.   Russian President Vladimir Putin pledged his support to domestic video game developers during a meeting in Moscow. At an exhibition focused on creative industries representatives from various software companies approached Putin urging him to address their concerns at the upcoming BRICS summit in South Africa.,news,2023-05-31
Arrest Putin South Africa's opposition urges government,The last time an accused war criminal visited South Africa he had to cut his visit short or risk being arrested. Now the South African opposition wants to do the same thing to Vladimir Putin.  South Africa's leading opposition party the Democratic Alliance (DA) said Tuesday it had taken legal action to force the government to arrest Putin if the Russian president were to visit the country. Putin is currently under an international arrest warrant issued by the International Criminal Court (ICC) in The Hague in March over the forced deportation of Ukrainian children to Russia as part of Moscow's full-scale invasion.,news,2023-05-30
Irish Examiner view: US is playing a dangerous game,While the widely anticipated Ukrainian counter-offensive against its Russian invaders remains understandably murky and secretive it appears US president Joe Biden is becoming more emboldened daily.Following his decision last month to facilitate the acquisition of F-16 fighter jets by Ukraine Biden has continued to push the so-called ‘red lines' laid down by Vladimir Putin.The apocalyptic warnings by the Russian leader that such moves would draw the US into direct confrontation with Moscow are apparently being ignored in Washington as Biden continues to expand the Ukrainian arsenal with Javelin and Stinger missiles HIMARS rocket launchers advanced missile defence systems drones helicopters tanks and shortly fourth-generation fighter jets.,news,2023-06-06
Confirmed: Zlatan Ibrahimovic to leave AC Milan – thanks tonight,Confirmed: Zlatan Ibrahimovic to leave AC Milan – thanks tonightHighlights: Zlatan Ibrahimovic will not sign a new contract with AC Milan. The Italian club confirmed this on Saturday. The 41-year-old will be thanked tonight in connection with this season's league game against Hellas Verona. Monza have confirmed that they are interested in signing the Swede. He has hinted that he wants to extend his career and has won two league titles at the San Siro in 2011 and 2022. He became the league's all-time leading scorer as he scored a penalty.,sport,2023-06-04
Zlatan Ibrahimović Announces Retirement After 22-Year Career with AC Milan More,Timothy Rapp@@TRappaRTFeatured Columnist IVJune 4 2023Francesco Scaccianoce/Getty ImagesLongtime superstar and AC Milan striker Zlatan Ibrahimović announced his retirement from football on Sunday.Lega Serie A @SerieA_ENZlatan Ibrahimović:"The time has arrived to say goodbye".We will miss you forever and 𝐀𝐋𝐖𝐀𝐈𝐙❤️🖤Good luck in retirement 👏 pic.twitter.com/vF0w3kCKU9Ibrahimović played for Malmö FF Ajax Juventus Inter Milan Barcelona two stints with AC Milan Paris Saint-Germain Manchester United and LA Galaxy during his 22-year career.,entertainment,2023-06-04
Zlatan Ibrahimovic to leave AC Milan on free transfer,playZlatan admits he's 'panicking' about life after football (2:18)Zlatan Ibrahimovic tells Gab & Juls why he has no plans to call time on his playing days just yet. (2:18)Jun 3 2023 05:41 PMZlatan Ibrahimovic will not extend his contract with AC Milan the Serie A club said Saturday.The 41-year-old Sweden international's contract expires at the end of June and will not be renewed following a season beset by injuries.- Stream on +: LaLiga Bundesliga more (U.S.)Ibrahimovic has played only four matches in Serie A this season getting a total of 144 minutes on the field but became the oldest goalscorer in the league's history when he scored his only goal of the season by converting a penalty in a 3-1 loss at Udinese in March.,sport,2023-06-04
"I wan die": Zlatan Skibi Mayor cry after 10mins football at Barca clip trend,Days after Spotify sent a private jet to Nigeria to convey Afrobeat artists Zlatan Ibile Mayorkun and Skiibii to Barcelona the hat-trick of singers has stirred chaos in the Catalan capitalIn a trending clip shared online by popular Afrobeat podcaster Shopsdoo Zlatan Mayorkun and Skiibii were all seen looking wholly exhausted after a few minutes of football The singers along with some of their other colleagues were seen having a 5-aside kick around at one of the training facilities of FC BarcelonaNigerian singers Zlatan Ibile Mayorkun and Skiibii trend online after clips of them partaking in a 5-aside football challenge inside one of the training facilities of Barcelona football club.,news,2023-06-01
Zlatan Ibrahimovic Officially Retires With Emotional AC Milan Farewell,Zlatan Ibrahimovic is done with football. The Swede striker confirmed his decision to retire on Sunday after it was reported that he's not going back to AC Milan after the season ends.Apparently Zlatan isn't moving somewhere else. Instead he's bidding farewell to the game that he has played professionally for 24 yearsAfter AC Milan ended their Serie A season with a 3-1 win over Hellas Verona on Sunday Zlatan–who did not feature in the game due to injury–addressed the crowd at San Siro and got emotional as he shared his decision to 'say goodbye to football.,sport,2023-06-04
Zlatan Ibrahimovic to Leave AC Milan After Contract Expires at the End of Season,Zlatan Ibrahimovic is set to leave AC Milan after his contract expires at the end of the season. The Swedish legend had rejoined AC Milan in 2020 and helped them win the Scudetto in the 2021-22 season. Ibrahimovic has played only four games this season after having a hard time with injuries. "AC Milan will bid farewell to Zlatan Ibrahimovic with a brief ceremony involving all the crowd' a club spokesperson as quoted by Star said. . Zlatan Ibrahimovic to Leave AC Milan 🚨 Zlatan Ibrahimović leaves AC Milan.,news,2023-06-04
Milan say Zlatan Ibrahimovic will not extend contract,Striker Zlatan Ibrahimovic will not extend his contract with AC Milan the Serie A club said on Saturday.The 41-year-old Swedish international's contract expires at the end of June and will not be renewed following a season plagued by injuries.Ibrahimovic has played only four matches in Serie A this season getting a total of 144 minutes on the field but became the oldest goalscorer in the league's history when he scored his only goal of the season by converting a penalty in a 3-1 loss at Udinese in March.,news,2023-06-03
Zlatan Ibrahimović set to retire from football,In a moment that some felt may never come the seemingly invincible Zlatan Ibrahimović is set to retire from football.The 41-year-old said goodbye to the  crowd this evening after the Rossoneri's 3-1 victory over Hellas Verona sharing an emotional moment with tens of thousands in the San Siro and many more across the world.'The time has arrived to say goodbye.' Zlatan said to the  faithful in a speech after the match.The Swede has donned the shirt of many of Europe's great clubs with lengthy spells at Juventus Inter  Barcelona and PSG where he made a personal record 180 appearances.,news,2023-06-04
